ID,Time[s],0:SPI: MOSI data
586,0.313372,00
587,0.313391,00
588,0.313409,00
589,0.313428,00
590,0.313447,00
591,0.313465,00
592,0.313484,00
593,0.313502,00
594,0.313521,00
595,0.31354,00
596,0.313558,00
597,0.313577,00
598,0.313595,00
599,0.313614,00
600,0.313633,00
601,0.313651,00
602,0.31367,00
603,0.313688,00
604,0.313707,00
605,0.313726,00
606,0.313744,B8
607,0.313763,00
608,0.313781,10
609,0.313799,00
610,0.313818,00
611,0.313836,00
612,0.313855,00
613,0.313874,00
614,0.313892,00
615,0.313911,00
616,0.313929,00
617,0.313948,00
618,0.313967,00
619,0.313985,00
620,0.314004,00
621,0.314022,00
622,0.314041,00
623,0.31406,00
624,0.314078,00
625,0.314097,00
626,0.314115,00
627,0.314134,00
628,0.314153,00
629,0.314171,00
630,0.31419,00
631,0.314208,00
632,0.314227,00
633,0.314246,00
634,0.314264,00
635,0.314283,00
636,0.314301,00
637,0.31432,00
638,0.314339,00
639,0.314357,00
640,0.314376,00
641,0.314394,00
642,0.314413,00
643,0.314431,00
644,0.31445,00
645,0.314469,00
646,0.314487,00
647,0.314506,00
648,0.314524,00
649,0.314543,00
650,0.314562,00
651,0.31458,00
652,0.314599,00
653,0.314617,00
654,0.314636,00
655,0.314655,00
656,0.314673,00
657,0.314692,00
658,0.31471,00
659,0.314729,00
660,0.314748,00
661,0.314766,00
662,0.314785,00
663,0.314803,00
664,0.314822,00
665,0.314841,00
666,0.314859,00
667,0.314878,00
668,0.314896,00
669,0.314915,00
670,0.314934,00
671,0.314952,00
672,0.314971,00
673,0.31499,B9
674,0.315008,00
675,0.315026,10
676,0.315044,00
677,0.315063,00
678,0.315082,00
679,0.3151,00
680,0.315119,00
681,0.315137,00
682,0.315156,00
683,0.315175,00
684,0.315193,00
685,0.315212,00
686,0.31523,00
687,0.315249,00
688,0.315268,00
689,0.315286,00
690,0.315305,00
691,0.315323,00
692,0.315342,00
693,0.315361,00
694,0.315379,00
695,0.315398,00
696,0.315416,00
697,0.315435,00
698,0.315454,00
699,0.315472,00
700,0.315491,00
701,0.315509,00
702,0.315528,00
703,0.315547,00
704,0.315565,00
705,0.315584,00
706,0.315602,00
707,0.315621,00
708,0.315639,00
709,0.315658,00
710,0.315677,00
711,0.315695,00
712,0.315714,00
713,0.315732,00
714,0.315751,00
715,0.31577,00
716,0.315788,00
717,0.315807,00
718,0.315825,00
719,0.315844,00
720,0.315863,00
721,0.315881,00
722,0.3159,00
723,0.315918,00
724,0.315937,00
725,0.315956,00
726,0.315974,00
727,0.315993,00
728,0.316011,00
729,0.31603,00
730,0.316049,00
731,0.316067,00
732,0.316086,00
733,0.316104,00
734,0.316123,00
735,0.316142,00
736,0.31616,00
737,0.316179,00
738,0.316197,00
739,0.316216,00
740,0.316235,BA
741,0.316253,00
742,0.316271,10
743,0.31629,00
744,0.316308,00
745,0.316327,00
746,0.316345,00
747,0.316364,00
748,0.316383,00
749,0.316401,00
750,0.31642,00
751,0.316438,00
752,0.316457,00
753,0.316476,00
754,0.316494,00
755,0.316513,00
756,0.316531,00
757,0.31655,00
758,0.316568,00
759,0.316587,00
760,0.316606,00
761,0.316624,00
762,0.316643,00
763,0.316661,00
764,0.31668,00
765,0.316699,00
766,0.316717,00
767,0.316736,00
768,0.316754,00
769,0.316773,00
770,0.316792,00
771,0.31681,00
772,0.316829,00
773,0.316847,00
774,0.316866,00
775,0.316885,00
776,0.316903,00
777,0.316922,00
778,0.31694,00
779,0.316959,00
780,0.316978,00
781,0.316996,00
782,0.317015,00
783,0.317033,00
784,0.317052,00
785,0.317071,00
786,0.317089,00
787,0.317108,00
788,0.317126,00
789,0.317145,00
790,0.317163,00
791,0.317182,00
792,0.317201,00
793,0.317219,00
794,0.317238,00
795,0.317256,00
796,0.317275,00
797,0.317294,00
798,0.317312,00
799,0.317331,00
800,0.317349,00
801,0.317368,00
802,0.317387,00
803,0.317405,00
804,0.317424,00
805,0.317442,00
806,0.317461,00
807,0.31748,BB
808,0.317498,00
809,0.317516,10
810,0.317535,00
811,0.317553,00
812,0.317572,00
813,0.31759,00
814,0.317609,00
815,0.317628,00
816,0.317646,00
817,0.317665,00
818,0.317683,00
819,0.317702,00
820,0.317721,00
821,0.317739,00
822,0.317758,00
823,0.317776,00
824,0.317795,00
825,0.317814,00
826,0.317832,00
827,0.317851,00
828,0.317869,00
829,0.317888,00
830,0.317907,00
831,0.317925,00
832,0.317944,00
833,0.317962,00
834,0.317981,00
835,0.318,00
836,0.318018,00
837,0.318037,00
838,0.318055,00
839,0.318074,00
840,0.318093,00
841,0.318111,00
842,0.31813,00
843,0.318148,00
844,0.318167,00
845,0.318185,00
846,0.318204,00
847,0.318223,00
848,0.318241,00
849,0.31826,00
850,0.318278,00
851,0.318297,00
852,0.318316,00
853,0.318334,00
854,0.318353,00
855,0.318371,00
856,0.31839,00
857,0.318409,00
858,0.318427,00
859,0.318446,00
860,0.318464,00
861,0.318483,00
862,0.318502,00
863,0.31852,00
864,0.318539,00
865,0.318557,00
866,0.318576,00
867,0.318595,00
868,0.318613,00
869,0.318632,00
870,0.31865,00
871,0.318669,00
872,0.318688,00
873,0.318706,00
874,0.318725,BC
875,0.318743,00
876,0.318761,10
877,0.31878,00
878,0.318798,00
879,0.318817,00
880,0.318836,00
881,0.318854,00
882,0.318873,00
883,0.318891,00
884,0.31891,00
885,0.318929,00
886,0.318947,00
887,0.318966,00
888,0.318984,00
889,0.319003,00
890,0.319022,00
891,0.31904,00
892,0.319059,00
893,0.319077,00
894,0.319096,00
895,0.319115,00
896,0.319133,00
897,0.319152,00
898,0.31917,00
899,0.319189,00
900,0.319207,00
901,0.319226,00
902,0.319245,00
903,0.319263,00
904,0.319282,00
905,0.3193,00
906,0.319319,00
907,0.319338,00
908,0.319356,00
909,0.319375,00
910,0.319393,00
911,0.319412,00
912,0.319431,00
913,0.319449,00
914,0.319468,00
915,0.319486,00
916,0.319505,00
917,0.319524,00
918,0.319542,00
919,0.319561,00
920,0.319579,00
921,0.319598,00
922,0.319617,00
923,0.319635,00
924,0.319654,00
925,0.319672,00
926,0.319691,00
927,0.31971,00
928,0.319728,00
929,0.319747,00
930,0.319765,00
931,0.319784,00
932,0.319803,00
933,0.319821,00
934,0.31984,00
935,0.319858,00
936,0.319877,00
937,0.319895,00
938,0.319914,00
939,0.319933,00
940,0.319951,00
941,0.31997,BD
942,0.319988,00
943,0.320006,10
944,0.320025,00
945,0.320044,00
946,0.320062,00
947,0.320081,00
948,0.320099,00
949,0.320118,00
950,0.320137,00
951,0.320155,00
952,0.320174,00
953,0.320192,00
954,0.320211,00
955,0.32023,00
956,0.320248,00
957,0.320267,00
958,0.320285,00
959,0.320304,00
960,0.320322,00
961,0.320341,00
962,0.32036,00
963,0.320378,00
964,0.320397,00
965,0.320415,00
966,0.320434,00
967,0.320453,00
968,0.320471,00
969,0.32049,00
970,0.320508,00
971,0.320527,00
972,0.320546,00
973,0.320564,00
974,0.320583,00
975,0.320601,00
976,0.32062,00
977,0.320639,00
978,0.320657,00
979,0.320676,00
980,0.320694,00
981,0.320713,00
982,0.320732,00
983,0.32075,00
984,0.320769,00
985,0.320787,00
986,0.320806,00
987,0.320825,00
988,0.320843,00
989,0.320862,00
990,0.32088,00
991,0.320899,00
992,0.320918,00
993,0.320936,00
994,0.320955,00
995,0.320973,00
996,0.320992,00
997,0.32101,00
998,0.321029,00
999,0.321048,00
1000,0.321066,00
1001,0.321085,00
1002,0.321103,00
1003,0.321122,00
1004,0.321141,00
1005,0.321159,00
1006,0.321178,00
1007,0.321196,00
1008,0.321215,BE
1009,0.321234,00
1010,0.321252,10
1011,0.32127,00
1012,0.321289,00
1013,0.321307,00
1014,0.321326,00
1015,0.321345,00
1016,0.321363,00
1017,0.321382,00
1018,0.3214,00
1019,0.321419,00
1020,0.321437,00
1021,0.321456,00
1022,0.321475,00
1023,0.321493,00
1024,0.321512,00
1025,0.32153,00
1026,0.321549,00
1027,0.321568,00
1028,0.321586,00
1029,0.321605,00
1030,0.321623,00
1031,0.321642,00
1032,0.321661,00
1033,0.321679,00
1034,0.321698,00
1035,0.321716,00
1036,0.321735,00
1037,0.321754,00
1038,0.321772,00
1039,0.321791,00
1040,0.321809,00
1041,0.321828,00
1042,0.321847,00
1043,0.321865,00
1044,0.321884,00
1045,0.321902,00
1046,0.321921,00
1047,0.32194,00
1048,0.321958,00
1049,0.321977,00
1050,0.321995,00
1051,0.322014,00
1052,0.322033,00
1053,0.322051,00
1054,0.32207,00
1055,0.322088,00
1056,0.322107,00
1057,0.322126,00
1058,0.322144,00
1059,0.322163,00
1060,0.322181,00
1061,0.3222,00
1062,0.322218,00
1063,0.322237,00
1064,0.322256,00
1065,0.322274,00
1066,0.322293,00
1067,0.322311,00
1068,0.32233,00
1069,0.322349,00
1070,0.322367,00
1071,0.322386,00
1072,0.322404,00
1073,0.322423,00
1074,0.322442,00
1075,0.322461,BF
1076,0.322479,00
1077,0.322497,10
1078,0.322515,00
1079,0.322534,00
1080,0.322552,00
1081,0.322571,00
1082,0.32259,00
1083,0.322608,00
1084,0.322627,00
1085,0.322645,00
1086,0.322664,00
1087,0.322683,00
1088,0.322701,00
1089,0.32272,00
1090,0.322738,00
1091,0.322757,00
1092,0.322776,00
1093,0.322794,00
1094,0.322813,00
1095,0.322831,00
1096,0.32285,00
1097,0.322869,00
1098,0.322887,00
1099,0.322906,00
1100,0.322924,00
1101,0.322943,00
1102,0.322962,00
